financial_year,ethnicity,age_under25,total_searches
2020/21,Asian,FALSE,29805
2020/21,Asian,TRUE,42425
2020/21,Black,FALSE,37053
2020/21,Black,TRUE,57448
2020/21,Mixed,FALSE,7407
2020/21,Mixed,TRUE,12850
2020/21,Other,FALSE,5049
2020/21,Other,TRUE,6184
2020/21,White,FALSE,172492
2020/21,White,TRUE,173674
2021/22,Asian,FALSE,20035
2021/22,Asian,TRUE,26283
2021/22,Black,FALSE,26313
2021/22,Black,TRUE,36275
2021/22,Mixed,FALSE,5470
2021/22,Mixed,TRUE,9652
2021/22,Other,FALSE,3971
2021/22,Other,TRUE,4349
2021/22,White,FALSE,134521
2021/22,White,TRUE,127917
2022/23,Asian,FALSE,19089
2022/23,Asian,TRUE,24612
2022/23,Black,FALSE,22562
2022/23,Black,TRUE,33125
2022/23,Mixed,FALSE,5919
2022/23,Mixed,TRUE,9766
2022/23,Other,FALSE,4434
2022/23,Other,TRUE,4638
2022/23,White,FALSE,143167
2022/23,White,TRUE,133052
2023/24,Asian,FALSE,19050
2023/24,Asian,TRUE,21973
2023/24,Black,FALSE,20799
2023/24,Black,TRUE,28342
2023/24,Mixed,FALSE,6085
2023/24,Mixed,TRUE,9476
2023/24,Other,FALSE,4889
2023/24,Other,TRUE,4771
2023/24,White,FALSE,150420
2023/24,White,TRUE,125981
2024/25,Asian,FALSE,20603
2024/25,Asian,TRUE,21319
2024/25,Black,FALSE,21979
2024/25,Black,TRUE,26948
2024/25,Mixed,FALSE,6589
2024/25,Mixed,TRUE,9951
2024/25,Other,FALSE,5431
2024/25,Other,TRUE,4927
2024/25,White,FALSE,153242
2024/25,White,TRUE,119266
