financial_year,ethnicity,total_searches,total_population,rate_per_1000,white_rate,ratio_vs_white
2020/21,Asian,74237,5515455,13.459814285494126,7.259478080875651,1.85
2020/21,Black,95962,2409283,39.83010713145779,7.259478080875651,5.49
2020/21,Mixed,20853,1717977,12.138113606875995,7.259478080875651,1.67
2020/21,Other,11332,1255632,9.024937242759025,7.259478080875651,1.24
2020/21,White,353531,48699231,7.259478080875651,7.259478080875651,1
2021/22,Asian,48343,5515455,8.765006694823908,5.529286489143946,1.59
2021/22,Black,64094,2409283,26.602935396132374,5.529286489143946,4.81
2021/22,Mixed,15837,1717977,9.218400479168231,5.529286489143946,1.67
2021/22,Other,8400,1255632,6.689858175006689,5.529286489143946,1.21
2021/22,White,269272,48699231,5.529286489143946,5.529286489143946,1
2022/23,Asian,45725,5515455,8.290340506812221,5.810297086621347,1.43
2022/23,Black,57121,2409283,23.708713339196763,5.810297086621347,4.08
2022/23,Mixed,16341,1717977,9.51176878386614,5.810297086621347,1.64
2022/23,Other,9209,1255632,7.334155230194834,5.810297086621347,1.26
2022/23,White,282957,48699231,5.810297086621347,5.810297086621347,1
2023/24,Asian,43154,5515455,7.824195827905405,5.841858159936858,1.34
2023/24,Black,50939,2409283,21.14280472655143,5.841858159936858,3.62
2023/24,Mixed,16223,1717977,9.443083347448773,5.841858159936858,1.62
2023/24,Other,9881,1255632,7.869343884195369,5.841858159936858,1.35
2023/24,White,284494,48699231,5.841858159936858,5.841858159936858,1
2024/25,Asian,44077,5515455,7.991543762028699,5.753355735740468,1.39
2024/25,Black,50647,2409283,21.02160684319775,5.753355735740468,3.65
2024/25,Mixed,17174,1717977,9.996641398575184,5.753355735740468,1.74
2024/25,Other,10585,1255632,8.43001771219593,5.753355735740468,1.47
2024/25,White,280184,48699231,5.753355735740468,5.753355735740468,1
