financial_year,police_force,ethnicity,total_searches
2020/21,Avon & Somerset,Asian,310
2020/21,Avon & Somerset,Black,859
2020/21,Avon & Somerset,Mixed,267
2020/21,Avon & Somerset,Other,63
2020/21,Avon & Somerset,White,6136
2020/21,Bedfordshire,Asian,811
2020/21,Bedfordshire,Black,354
2020/21,Bedfordshire,Mixed,131
2020/21,Bedfordshire,Other,42
2020/21,Bedfordshire,White,1694
2020/21,Cambridgeshire,Asian,313
2020/21,Cambridgeshire,Black,192
2020/21,Cambridgeshire,Mixed,110
2020/21,Cambridgeshire,Other,57
2020/21,Cambridgeshire,White,1990
2020/21,Cheshire,Asian,38
2020/21,Cheshire,Black,126
2020/21,Cheshire,Mixed,65
2020/21,Cheshire,Other,34
2020/21,Cheshire,White,4587
2020/21,Cleveland,Asian,229
2020/21,Cleveland,Black,83
2020/21,Cleveland,Mixed,80
2020/21,Cleveland,Other,55
2020/21,Cleveland,White,4614
2020/21,Cumbria,Asian,63
2020/21,Cumbria,Black,17
2020/21,Cumbria,Mixed,18
2020/21,Cumbria,Other,6
2020/21,Cumbria,White,2954
2020/21,Derbyshire,Asian,204
2020/21,Derbyshire,Black,139
2020/21,Derbyshire,Mixed,81
2020/21,Derbyshire,Other,18
2020/21,Derbyshire,White,1381
2020/21,Devon & Cornwall,Asian,59
2020/21,Devon & Cornwall,Black,160
2020/21,Devon & Cornwall,Mixed,105
2020/21,Devon & Cornwall,Other,27
2020/21,Devon & Cornwall,White,5618
2020/21,Dorset,Asian,62
2020/21,Dorset,Black,178
2020/21,Dorset,Mixed,94
2020/21,Dorset,Other,32
2020/21,Dorset,White,2032
2020/21,Durham,Asian,24
2020/21,Durham,Black,9
2020/21,Durham,Mixed,13
2020/21,Durham,Other,7
2020/21,Durham,White,2207
2020/21,Dyfed-Powys,Asian,39
2020/21,Dyfed-Powys,Black,23
2020/21,Dyfed-Powys,Mixed,34
2020/21,Dyfed-Powys,White,2953
2020/21,Essex,Asian,951
2020/21,Essex,Black,1877
2020/21,Essex,Mixed,673
2020/21,Essex,Other,141
2020/21,Essex,White,17980
2020/21,Gloucestershire,Asian,69
2020/21,Gloucestershire,Black,148
2020/21,Gloucestershire,Mixed,138
2020/21,Gloucestershire,Other,16
2020/21,Gloucestershire,White,2462
2020/21,Greater Manchester,Asian,1352
2020/21,Greater Manchester,Black,911
2020/21,Greater Manchester,Mixed,261
2020/21,Greater Manchester,Other,120
2020/21,Greater Manchester,White,5241
2020/21,Gwent,Asian,226
2020/21,Gwent,Black,144
2020/21,Gwent,Mixed,117
2020/21,Gwent,Other,49
2020/21,Gwent,White,3443
2020/21,Hampshire,Asian,487
2020/21,Hampshire,Black,797
2020/21,Hampshire,Mixed,425
2020/21,Hampshire,Other,160
2020/21,Hampshire,White,9319
2020/21,Hertfordshire,Asian,746
2020/21,Hertfordshire,Black,843
2020/21,Hertfordshire,Mixed,381
2020/21,Hertfordshire,Other,148
2020/21,Hertfordshire,White,5732
2020/21,Humberside,Asian,167
2020/21,Humberside,Black,165
2020/21,Humberside,Mixed,101
2020/21,Humberside,Other,22
2020/21,Humberside,White,5358
2020/21,Kent,Asian,493
2020/21,Kent,Black,906
2020/21,Kent,Mixed,419
2020/21,Kent,Other,107
2020/21,Kent,White,9897
2020/21,Lancashire,Asian,1224
2020/21,Lancashire,Black,123
2020/21,Lancashire,Mixed,111
2020/21,Lancashire,Other,19
2020/21,Lancashire,White,6636
2020/21,Leicestershire,Asian,687
2020/21,Leicestershire,Black,490
2020/21,Leicestershire,Mixed,131
2020/21,Leicestershire,Other,50
2020/21,Leicestershire,White,3274
2020/21,Lincolnshire,Asian,76
2020/21,Lincolnshire,Black,107
2020/21,Lincolnshire,Mixed,63
2020/21,Lincolnshire,Other,29
2020/21,Lincolnshire,White,2688
2020/21,"London, City of",Asian,294
2020/21,"London, City of",Black,289
2020/21,"London, City of",Mixed,78
2020/21,"London, City of",Other,47
2020/21,"London, City of",White,829
2020/21,Merseyside,Asian,491
2020/21,Merseyside,Black,887
2020/21,Merseyside,Mixed,612
2020/21,Merseyside,Other,298
2020/21,Merseyside,White,39778
2020/21,Metropolitan Police,Asian,44444
2020/21,Metropolitan Police,Black,75651
2020/21,Metropolitan Police,Mixed,10644
2020/21,Metropolitan Police,Other,8558
2020/21,Metropolitan Police,White,99724
2020/21,Norfolk,Asian,102
2020/21,Norfolk,Black,244
2020/21,Norfolk,Mixed,137
2020/21,Norfolk,Other,57
2020/21,Norfolk,White,5958
2020/21,North Wales,Asian,51
2020/21,North Wales,Black,30
2020/21,North Wales,Mixed,36
2020/21,North Wales,Other,17
2020/21,North Wales,White,5547
2020/21,North Yorkshire,Asian,193
2020/21,North Yorkshire,Black,45
2020/21,North Yorkshire,Mixed,78
2020/21,North Yorkshire,Other,19
2020/21,North Yorkshire,White,2988
2020/21,Northamptonshire,Asian,160
2020/21,Northamptonshire,Black,233
2020/21,Northamptonshire,Mixed,103
2020/21,Northamptonshire,Other,19
2020/21,Northamptonshire,White,1866
2020/21,Northumbria,Asian,341
2020/21,Northumbria,Black,100
2020/21,Northumbria,Mixed,39
2020/21,Northumbria,Other,10
2020/21,Northumbria,White,4403
2020/21,Nottinghamshire,Asian,338
2020/21,Nottinghamshire,Black,381
2020/21,Nottinghamshire,Mixed,204
2020/21,Nottinghamshire,Other,35
2020/21,Nottinghamshire,White,2849
2020/21,South Wales,Asian,816
2020/21,South Wales,Black,803
2020/21,South Wales,Mixed,384
2020/21,South Wales,Other,295
2020/21,South Wales,White,12534
2020/21,South Yorkshire,Asian,1426
2020/21,South Yorkshire,Black,747
2020/21,South Yorkshire,Mixed,287
2020/21,South Yorkshire,Other,157
2020/21,South Yorkshire,White,11321
2020/21,Staffordshire,Asian,473
2020/21,Staffordshire,Black,257
2020/21,Staffordshire,Mixed,177
2020/21,Staffordshire,Other,64
2020/21,Staffordshire,White,4155
2020/21,Suffolk,Asian,68
2020/21,Suffolk,Black,297
2020/21,Suffolk,Mixed,187
2020/21,Suffolk,Other,65
2020/21,Suffolk,White,3840
2020/21,Surrey,Asian,472
2020/21,Surrey,Black,437
2020/21,Surrey,Mixed,214
2020/21,Surrey,Other,62
2020/21,Surrey,White,5204
2020/21,Sussex,Asian,277
2020/21,Sussex,Black,681
2020/21,Sussex,Mixed,191
2020/21,Sussex,Other,86
2020/21,Sussex,White,6525
2020/21,Thames Valley,Asian,2415
2020/21,Thames Valley,Black,1445
2020/21,Thames Valley,Mixed,804
2020/21,Thames Valley,Other,114
2020/21,Thames Valley,White,9531
2020/21,Warwickshire,Asian,205
2020/21,Warwickshire,Black,187
2020/21,Warwickshire,Mixed,98
2020/21,Warwickshire,Other,18
2020/21,Warwickshire,White,1630
2020/21,West Mercia,Asian,497
2020/21,West Mercia,Black,268
2020/21,West Mercia,Mixed,148
2020/21,West Mercia,Other,29
2020/21,West Mercia,White,4438
2020/21,West Midlands,Asian,7045
2020/21,West Midlands,Black,3334
2020/21,West Midlands,Mixed,1812
2020/21,West Midlands,Other,25
2020/21,West Midlands,White,10052
2020/21,West Yorkshire,Asian,5423
2020/21,West Yorkshire,Black,882
2020/21,West Yorkshire,Mixed,757
2020/21,West Yorkshire,Other,152
2020/21,West Yorkshire,White,10433
2020/21,Wiltshire,Asian,76
2020/21,Wiltshire,Black,113
2020/21,Wiltshire,Mixed,45
2020/21,Wiltshire,Other,3
2020/21,Wiltshire,White,1730
2021/22,Avon & Somerset,Asian,87
2021/22,Avon & Somerset,Black,417
2021/22,Avon & Somerset,Mixed,207
2021/22,Avon & Somerset,Other,67
2021/22,Avon & Somerset,White,4437
2021/22,Bedfordshire,Asian,683
2021/22,Bedfordshire,Black,430
2021/22,Bedfordshire,Mixed,126
2021/22,Bedfordshire,Other,48
2021/22,Bedfordshire,White,1679
2021/22,Cambridgeshire,Asian,195
2021/22,Cambridgeshire,Black,147
2021/22,Cambridgeshire,Mixed,81
2021/22,Cambridgeshire,Other,51
2021/22,Cambridgeshire,White,1580
2021/22,Cheshire,Asian,42
2021/22,Cheshire,Black,94
2021/22,Cheshire,Mixed,103
2021/22,Cheshire,Other,37
2021/22,Cheshire,White,4711
2021/22,Cleveland,Asian,206
2021/22,Cleveland,Black,94
2021/22,Cleveland,Mixed,84
2021/22,Cleveland,Other,79
2021/22,Cleveland,White,4327
2021/22,Cumbria,Asian,54
2021/22,Cumbria,Black,29
2021/22,Cumbria,Mixed,23
2021/22,Cumbria,Other,17
2021/22,Cumbria,White,1964
2021/22,Derbyshire,Asian,158
2021/22,Derbyshire,Black,60
2021/22,Derbyshire,Mixed,68
2021/22,Derbyshire,Other,16
2021/22,Derbyshire,White,1046
2021/22,Devon & Cornwall,Asian,62
2021/22,Devon & Cornwall,Black,85
2021/22,Devon & Cornwall,Mixed,55
2021/22,Devon & Cornwall,Other,13
2021/22,Devon & Cornwall,White,3679
2021/22,Dorset,Asian,35
2021/22,Dorset,Black,134
2021/22,Dorset,Mixed,73
2021/22,Dorset,Other,16
2021/22,Dorset,White,1607
2021/22,Durham,Asian,25
2021/22,Durham,Black,19
2021/22,Durham,Mixed,14
2021/22,Durham,Other,10
2021/22,Durham,White,1992
2021/22,Dyfed-Powys,Asian,23
2021/22,Dyfed-Powys,Black,19
2021/22,Dyfed-Powys,Mixed,25
2021/22,Dyfed-Powys,White,2200
2021/22,Essex,Asian,509
2021/22,Essex,Black,998
2021/22,Essex,Mixed,368
2021/22,Essex,Other,133
2021/22,Essex,White,11293
2021/22,Gloucestershire,Asian,38
2021/22,Gloucestershire,Black,74
2021/22,Gloucestershire,Mixed,84
2021/22,Gloucestershire,Other,3
2021/22,Gloucestershire,White,1503
2021/22,Greater Manchester,Asian,1130
2021/22,Greater Manchester,Black,801
2021/22,Greater Manchester,Mixed,238
2021/22,Greater Manchester,Other,117
2021/22,Greater Manchester,White,5404
2021/22,Gwent,Asian,67
2021/22,Gwent,Black,61
2021/22,Gwent,Mixed,36
2021/22,Gwent,Other,13
2021/22,Gwent,White,1455
2021/22,Hampshire,Asian,282
2021/22,Hampshire,Black,532
2021/22,Hampshire,Mixed,294
2021/22,Hampshire,Other,101
2021/22,Hampshire,White,7151
2021/22,Hertfordshire,Asian,450
2021/22,Hertfordshire,Black,665
2021/22,Hertfordshire,Mixed,266
2021/22,Hertfordshire,Other,129
2021/22,Hertfordshire,White,4437
2021/22,Humberside,Asian,138
2021/22,Humberside,Black,135
2021/22,Humberside,Mixed,83
2021/22,Humberside,Other,30
2021/22,Humberside,White,4514
2021/22,Kent,Asian,354
2021/22,Kent,Black,746
2021/22,Kent,Mixed,390
2021/22,Kent,Other,232
2021/22,Kent,White,8261
2021/22,Lancashire,Asian,1089
2021/22,Lancashire,Black,165
2021/22,Lancashire,Mixed,152
2021/22,Lancashire,Other,38
2021/22,Lancashire,White,7006
2021/22,Leicestershire,Asian,666
2021/22,Leicestershire,Black,477
2021/22,Leicestershire,Mixed,181
2021/22,Leicestershire,Other,53
2021/22,Leicestershire,White,3055
2021/22,Lincolnshire,Asian,33
2021/22,Lincolnshire,Black,64
2021/22,Lincolnshire,Mixed,36
2021/22,Lincolnshire,Other,28
2021/22,Lincolnshire,White,2339
2021/22,"London, City of",Asian,274
2021/22,"London, City of",Black,254
2021/22,"London, City of",Mixed,89
2021/22,"London, City of",Other,40
2021/22,"London, City of",White,806
2021/22,Merseyside,Asian,399
2021/22,Merseyside,Black,721
2021/22,Merseyside,Mixed,607
2021/22,Merseyside,Other,471
2021/22,Merseyside,White,37790
2021/22,Metropolitan Police,Asian,25624
2021/22,Metropolitan Police,Black,48158
2021/22,Metropolitan Police,Mixed,7230
2021/22,Metropolitan Police,Other,5682
2021/22,Metropolitan Police,White,66023
2021/22,Norfolk,Asian,64
2021/22,Norfolk,Black,168
2021/22,Norfolk,Mixed,127
2021/22,Norfolk,Other,63
2021/22,Norfolk,White,4343
2021/22,North Wales,Asian,37
2021/22,North Wales,Black,22
2021/22,North Wales,Mixed,29
2021/22,North Wales,Other,18
2021/22,North Wales,White,3782
2021/22,North Yorkshire,Asian,127
2021/22,North Yorkshire,Black,26
2021/22,North Yorkshire,Mixed,51
2021/22,North Yorkshire,Other,14
2021/22,North Yorkshire,White,1796
2021/22,Northamptonshire,Asian,128
2021/22,Northamptonshire,Black,316
2021/22,Northamptonshire,Mixed,134
2021/22,Northamptonshire,Other,17
2021/22,Northamptonshire,White,2164
2021/22,Northumbria,Asian,165
2021/22,Northumbria,Black,84
2021/22,Northumbria,Mixed,41
2021/22,Northumbria,Other,8
2021/22,Northumbria,White,3869
2021/22,Nottinghamshire,Asian,207
2021/22,Nottinghamshire,Black,327
2021/22,Nottinghamshire,Mixed,167
2021/22,Nottinghamshire,Other,43
2021/22,Nottinghamshire,White,2547
2021/22,South Wales,Asian,356
2021/22,South Wales,Black,387
2021/22,South Wales,Mixed,239
2021/22,South Wales,Other,144
2021/22,South Wales,White,8070
2021/22,South Yorkshire,Asian,756
2021/22,South Yorkshire,Black,533
2021/22,South Yorkshire,Mixed,204
2021/22,South Yorkshire,Other,100
2021/22,South Yorkshire,White,7494
2021/22,Staffordshire,Asian,309
2021/22,Staffordshire,Black,133
2021/22,Staffordshire,Mixed,141
2021/22,Staffordshire,Other,25
2021/22,Staffordshire,White,3324
2021/22,Suffolk,Asian,66
2021/22,Suffolk,Black,271
2021/22,Suffolk,Mixed,108
2021/22,Suffolk,Other,84
2021/22,Suffolk,White,3108
2021/22,Surrey,Asian,334
2021/22,Surrey,Black,290
2021/22,Surrey,Mixed,146
2021/22,Surrey,Other,67
2021/22,Surrey,White,3391
2021/22,Sussex,Asian,183
2021/22,Sussex,Black,428
2021/22,Sussex,Mixed,153
2021/22,Sussex,Other,94
2021/22,Sussex,White,4595
2021/22,Thames Valley,Asian,1591
2021/22,Thames Valley,Black,1017
2021/22,Thames Valley,Mixed,590
2021/22,Thames Valley,Other,88
2021/22,Thames Valley,White,7193
2021/22,Warwickshire,Asian,120
2021/22,Warwickshire,Black,131
2021/22,Warwickshire,Mixed,69
2021/22,Warwickshire,Other,19
2021/22,Warwickshire,White,1222
2021/22,West Mercia,Asian,264
2021/22,West Mercia,Black,182
2021/22,West Mercia,Mixed,76
2021/22,West Mercia,Other,24
2021/22,West Mercia,White,3199
2021/22,West Midlands,Asian,6836
2021/22,West Midlands,Black,3537
2021/22,West Midlands,Mixed,1926
2021/22,West Midlands,Other,19
2021/22,West Midlands,White,9364
2021/22,West Yorkshire,Asian,4126
2021/22,West Yorkshire,Black,775
2021/22,West Yorkshire,Mixed,684
2021/22,West Yorkshire,Other,145
2021/22,West Yorkshire,White,8355
2021/22,Wiltshire,Asian,51
2021/22,Wiltshire,Black,88
2021/22,Wiltshire,Mixed,39
2021/22,Wiltshire,Other,4
2021/22,Wiltshire,White,1197
2022/23,Avon & Somerset,Asian,129
2022/23,Avon & Somerset,Black,448
2022/23,Avon & Somerset,Mixed,214
2022/23,Avon & Somerset,Other,80
2022/23,Avon & Somerset,White,3988
2022/23,Bedfordshire,Asian,699
2022/23,Bedfordshire,Black,482
2022/23,Bedfordshire,Mixed,147
2022/23,Bedfordshire,Other,61
2022/23,Bedfordshire,White,1807
2022/23,Cambridgeshire,Asian,231
2022/23,Cambridgeshire,Black,166
2022/23,Cambridgeshire,Mixed,108
2022/23,Cambridgeshire,Other,55
2022/23,Cambridgeshire,White,1780
2022/23,Cheshire,Asian,66
2022/23,Cheshire,Black,206
2022/23,Cheshire,Mixed,207
2022/23,Cheshire,Other,84
2022/23,Cheshire,White,9058
2022/23,Cleveland,Asian,215
2022/23,Cleveland,Black,123
2022/23,Cleveland,Mixed,134
2022/23,Cleveland,Other,94
2022/23,Cleveland,White,5084
2022/23,Cumbria,Asian,114
2022/23,Cumbria,Black,48
2022/23,Cumbria,Mixed,38
2022/23,Cumbria,Other,35
2022/23,Cumbria,White,3660
2022/23,Derbyshire,Asian,171
2022/23,Derbyshire,Black,88
2022/23,Derbyshire,Mixed,96
2022/23,Derbyshire,Other,25
2022/23,Derbyshire,White,1301
2022/23,Devon & Cornwall,Asian,53
2022/23,Devon & Cornwall,Black,73
2022/23,Devon & Cornwall,Mixed,77
2022/23,Devon & Cornwall,Other,32
2022/23,Devon & Cornwall,White,4506
2022/23,Dorset,Asian,45
2022/23,Dorset,Black,138
2022/23,Dorset,Mixed,63
2022/23,Dorset,Other,17
2022/23,Dorset,White,1382
2022/23,Durham,Asian,38
2022/23,Durham,Black,15
2022/23,Durham,Mixed,37
2022/23,Durham,Other,11
2022/23,Durham,White,3089
2022/23,Dyfed-Powys,Asian,69
2022/23,Dyfed-Powys,Black,44
2022/23,Dyfed-Powys,Mixed,70
2022/23,Dyfed-Powys,Other,4
2022/23,Dyfed-Powys,White,7355
2022/23,Essex,Asian,383
2022/23,Essex,Black,861
2022/23,Essex,Mixed,393
2022/23,Essex,Other,162
2022/23,Essex,White,10144
2022/23,Gloucestershire,Asian,46
2022/23,Gloucestershire,Black,102
2022/23,Gloucestershire,Mixed,110
2022/23,Gloucestershire,Other,21
2022/23,Gloucestershire,White,1659
2022/23,Greater Manchester,Asian,4080
2022/23,Greater Manchester,Black,2502
2022/23,Greater Manchester,Mixed,620
2022/23,Greater Manchester,Other,348
2022/23,Greater Manchester,White,16262
2022/23,Gwent,Asian,93
2022/23,Gwent,Black,82
2022/23,Gwent,Mixed,56
2022/23,Gwent,Other,17
2022/23,Gwent,White,1571
2022/23,Hampshire,Asian,290
2022/23,Hampshire,Black,497
2022/23,Hampshire,Mixed,283
2022/23,Hampshire,Other,78
2022/23,Hampshire,White,6939
2022/23,Hertfordshire,Asian,437
2022/23,Hertfordshire,Black,643
2022/23,Hertfordshire,Mixed,278
2022/23,Hertfordshire,Other,131
2022/23,Hertfordshire,White,4128
2022/23,Humberside,Asian,63
2022/23,Humberside,Black,71
2022/23,Humberside,Mixed,74
2022/23,Humberside,Other,47
2022/23,Humberside,White,3792
2022/23,Kent,Asian,324
2022/23,Kent,Black,741
2022/23,Kent,Mixed,408
2022/23,Kent,Other,232
2022/23,Kent,White,8643
2022/23,Lancashire,Asian,1634
2022/23,Lancashire,Black,173
2022/23,Lancashire,Mixed,173
2022/23,Lancashire,Other,41
2022/23,Lancashire,White,7826
2022/23,Leicestershire,Asian,801
2022/23,Leicestershire,Black,508
2022/23,Leicestershire,Mixed,201
2022/23,Leicestershire,Other,59
2022/23,Leicestershire,White,3537
2022/23,Lincolnshire,Asian,54
2022/23,Lincolnshire,Black,69
2022/23,Lincolnshire,Mixed,61
2022/23,Lincolnshire,Other,24
2022/23,Lincolnshire,White,2596
2022/23,"London, City of",Asian,172
2022/23,"London, City of",Black,232
2022/23,"London, City of",Mixed,78
2022/23,"London, City of",Other,47
2022/23,"London, City of",White,578
2022/23,Merseyside,Asian,666
2022/23,Merseyside,Black,987
2022/23,Merseyside,Mixed,888
2022/23,Merseyside,Other,1114
2022/23,Merseyside,White,43431
2022/23,Metropolitan Police,Asian,19232
2022/23,Metropolitan Police,Black,38961
2022/23,Metropolitan Police,Mixed,6216
2022/23,Metropolitan Police,Other,5311
2022/23,Metropolitan Police,White,53863
2022/23,Norfolk,Asian,42
2022/23,Norfolk,Black,135
2022/23,Norfolk,Mixed,54
2022/23,Norfolk,Other,63
2022/23,Norfolk,White,2944
2022/23,North Wales,Asian,34
2022/23,North Wales,Black,27
2022/23,North Wales,Mixed,26
2022/23,North Wales,Other,20
2022/23,North Wales,White,3135
2022/23,North Yorkshire,Asian,70
2022/23,North Yorkshire,Black,33
2022/23,North Yorkshire,Mixed,46
2022/23,North Yorkshire,Other,25
2022/23,North Yorkshire,White,2057
2022/23,Northamptonshire,Asian,143
2022/23,Northamptonshire,Black,347
2022/23,Northamptonshire,Mixed,142
2022/23,Northamptonshire,Other,21
2022/23,Northamptonshire,White,2792
2022/23,Northumbria,Asian,280
2022/23,Northumbria,Black,136
2022/23,Northumbria,Mixed,61
2022/23,Northumbria,Other,10
2022/23,Northumbria,White,4885
2022/23,Nottinghamshire,Asian,270
2022/23,Nottinghamshire,Black,418
2022/23,Nottinghamshire,Mixed,171
2022/23,Nottinghamshire,Other,54
2022/23,Nottinghamshire,White,2426
2022/23,South Wales,Asian,259
2022/23,South Wales,Black,289
2022/23,South Wales,Mixed,177
2022/23,South Wales,Other,104
2022/23,South Wales,White,5670
2022/23,South Yorkshire,Asian,749
