financial_year,police_force,total_searches,missing_searches,pct_missing
2024/25,"London, City of",2287,976,42.7
2024/25,Nottinghamshire,3375,1336,39.6
2024/25,North Wales,4357,1460,33.5
2024/25,Metropolitan Police,120922,37535,31
2024/25,Gwent,3537,1064,30.1
2024/25,Humberside,5213,1465,28.1
2024/25,Wiltshire,1926,500,26
2024/25,Avon & Somerset,5491,1418,25.8
2024/25,Essex,13822,3548,25.7
2024/25,Kent,14587,3565,24.4
2024/25,Norfolk,2694,648,24.1
2024/25,South Wales,4925,1178,23.9
2024/25,Leicestershire,4983,1169,23.5
2024/25,Thames Valley,17385,4032,23.2
2024/25,Suffolk,2476,573,23.1
2024/25,Hertfordshire,6270,1278,20.4
2024/25,Greater Manchester,49275,9158,18.6
2024/25,Bedfordshire,3682,660,17.9
2024/25,South Yorkshire,10067,1757,17.5
2024/25,North Yorkshire,2366,409,17.3
2024/25,West Mercia,3270,541,16.5
2024/25,Cleveland,6545,1065,16.3
2024/25,Lancashire,19268,3070,15.9
2024/25,Cambridgeshire,2634,409,15.5
2024/25,Lincolnshire,2707,407,15
2024/25,Dorset,2029,296,14.6
2024/25,Sussex,6215,865,13.9
2024/25,Hampshire,13337,1782,13.4
2024/25,Surrey,5549,728,13.1
2024/25,Staffordshire,6230,701,11.3
2024/25,Gloucestershire,2461,263,10.7
2024/25,West Midlands,23448,2503,10.7
2024/25,Warwickshire,1325,140,10.6
2024/25,Northamptonshire,3663,378,10.3
2024/25,Cumbria,8908,889,10
2024/25,Devon & Cornwall,5808,484,8.3
2024/25,Cheshire,11840,733,6.2
2024/25,Dyfed-Powys,3686,198,5.4
2024/25,Derbyshire,3418,142,4.2
2024/25,Durham,2560,102,4
2024/25,West Yorkshire,17178,677,3.9
2024/25,Merseyside,53105,1917,3.6
2024/25,Northumbria,10068,206,2
