financial_year,ethnicity,reason_drugs,total_searches,pct
2020/21,Asian,FALSE,16867,22.7
2020/21,Asian,TRUE,57370,77.3
2020/21,Black,FALSE,31910,33.3
2020/21,Black,TRUE,64052,66.7
2020/21,Mixed,FALSE,6627,31.8
2020/21,Mixed,TRUE,14226,68.2
2020/21,Other,FALSE,3746,33.1
2020/21,Other,TRUE,7586,66.9
2020/21,White,FALSE,115269,32.6
2020/21,White,TRUE,238262,67.4
2021/22,Asian,FALSE,12838,26.6
2021/22,Asian,TRUE,35505,73.4
2021/22,Black,FALSE,23926,37.3
2021/22,Black,TRUE,40168,62.7
2021/22,Mixed,FALSE,5884,37.2
2021/22,Mixed,TRUE,9953,62.8
2021/22,Other,FALSE,3064,36.5
2021/22,Other,TRUE,5336,63.5
2021/22,White,FALSE,96925,36
2021/22,White,TRUE,172347,64
2022/23,Asian,FALSE,13836,30.3
2022/23,Asian,TRUE,31889,69.7
2022/23,Black,FALSE,24137,42.3
2022/23,Black,TRUE,32984,57.7
2022/23,Mixed,FALSE,6633,40.6
2022/23,Mixed,TRUE,9708,59.4
2022/23,Other,FALSE,3687,40
2022/23,Other,TRUE,5522,60
2022/23,White,FALSE,109611,38.7
2022/23,White,TRUE,173346,61.3
2023/24,Asian,FALSE,14115,32.7
2023/24,Asian,TRUE,29039,67.3
2023/24,Black,FALSE,22217,43.6
2023/24,Black,TRUE,28722,56.4
2023/24,Mixed,FALSE,6791,41.9
2023/24,Mixed,TRUE,9432,58.1
2023/24,Other,FALSE,4332,43.8
2023/24,Other,TRUE,5549,56.2
2023/24,White,FALSE,113677,40
2023/24,White,TRUE,170817,60
2024/25,Asian,FALSE,13530,30.7
2024/25,Asian,TRUE,30547,69.3
2024/25,Black,FALSE,20866,41.2
2024/25,Black,TRUE,29781,58.8
2024/25,Mixed,FALSE,6999,40.8
2024/25,Mixed,TRUE,10175,59.2
2024/25,Other,FALSE,4347,41.1
2024/25,Other,TRUE,6238,58.9
2024/25,White,FALSE,109767,39.2
2024/25,White,TRUE,170417,60.8
