region_clean,rate_Asian,rate_Black,rate_Mixed,rate_Other,rate_White,black_white_ratio
South West,2.644754779090732,12.182157735957478,5.11916971274796,4.086158395104824,2.3922697030775564,5.09
West Midlands,8.644437393927491,15.351847239827078,13.550819782513551,0.7969153740269985,3.6811100472625045,4.17
East Midlands,2.8482962637205294,10.901761053708675,5.58649688264945,3.874342168985891,2.7006296524733684,4.04
East of England,4.412786486180168,12.943619022902745,5.905665208340292,7.050746822525281,3.396635089715669,3.81
South East,4.79133777778461,16.301183776440908,8.483282604862266,8.902448910408053,4.488613783568934,3.63
London,7.089935504528657,24.651434024280338,10.911945208946253,8.518747350800687,6.817338283199174,3.62
Wales,3.863779315302363,13.606182649395885,4.691164972634871,5.214237134436636,3.950817805567635,3.44
Yorkshire and The Humber,11.881468645611125,14.347763261906179,11.101520369879756,8.281076160614948,4.505801965227953,3.18
North West,17.55603091094795,37.62606225779373,18.05775049922207,23.739060968081628,16.32011176889751,2.31
North East,8.343022662831732,12.915336962643138,7.575757575757576,3.0370904673322956,6.621134355509355,1.95
