financial_year,region_clean,ethnicity,total_searches,population,rate_per_1000
2020/21,East Midlands,Asian,1465,391111,3.745739700494233
2020/21,East Midlands,Black,1350,129979,10.386293170435225
2020/21,East Midlands,Mixed,582,117247,4.96387967282745
2020/21,East Midlands,Other,151,61946,2.4376069479869567
2020/21,East Midlands,White,12058,4179766,2.8848504916303925
2020/21,East of England,Asian,2991,405866,7.369427347942424
2020/21,East of England,Black,3807,184956,20.583273859728802
2020/21,East of England,Mixed,1619,179658,9.011566420643668
2020/21,East of England,Other,510,86232,5.9142777623156135
2020/21,East of England,White,37194,5478363,6.789254381281416
2020/21,London,Asian,44738,1817647,24.613139955117795
2020/21,London,Black,75940,1188369,63.90271035343399
2020/21,London,Mixed,10722,505776,21.19910790547594
2020/21,London,Other,8605,556772,15.455159383014951
2020/21,London,White,100553,4731172,21.253296223430475
2020/21,North East,Asian,594,98046,6.058380760051404
2020/21,North East,Black,192,26635,7.20856016519617
2020/21,North East,Mixed,132,33264,3.968253968253968
2020/21,North East,Other,72,26341,2.733381420599066
2020/21,North East,White,11224,2462720,4.55756237006237
2020/21,North West,Asian,3168,622692,5.087587442909175
2020/21,North West,Black,2064,173922,11.867388829475281
2020/21,North West,Mixed,1067,163254,6.53582760606172
2020/21,North West,Other,477,110156,4.330222593412978
2020/21,North West,White,59196,6347383,9.32604823121592
2020/21,South East,Asian,4144,650549,6.370004411658461
2020/21,South East,Black,4266,221579,19.252727018354626
2020/21,South East,Mixed,2053,260866,7.8699408891921525
2020/21,South East,Other,529,135693,3.898506186759818
2020/21,South East,White,40476,8009377,5.053576576555205
2020/21,South West,Asian,576,159183,3.6184768474020466
2020/21,South West,Black,1458,69610,20.945266484700475
2020/21,South West,Mixed,649,114081,5.688940314338058
2020/21,South West,Other,141,48701,2.8952177573355784
2020/21,South West,White,17978,5309602,3.3859411684717613
2020/21,Wales,Asian,1132,89032,12.714529607332196
2020/21,Wales,Black,1000,27561,36.283153731722365
2020/21,Wales,Mixed,571,48602,11.748487716554875
2020/21,Wales,Other,361,26466,13.64014206906975
2020/21,Wales,White,24477,2915852,8.394458978027691
2020/21,West Midlands,Asian,8220,794268,10.349151671727931
2020/21,West Midlands,Black,4046,269023,15.039606279017036
2020/21,West Midlands,Mixed,2235,178218,12.540820792512541
2020/21,West Midlands,Other,136,124229,1.094752433006786
2020/21,West Midlands,White,20275,4585030,4.421999419851125
2020/21,Yorkshire and The Humber,Asian,7209,487061,14.801020816694418
2020/21,Yorkshire and The Humber,Black,1839,117649,15.631242084505605
2020/21,Yorkshire and The Humber,Mixed,1223,117011,10.452008785498798
2020/21,Yorkshire and The Humber,Other,350,79096,4.425002528572874
2020/21,Yorkshire and The Humber,White,30100,4679966,6.4316706574364
2021/22,East Midlands,Asian,1192,391111,3.04772813855913
2021/22,East Midlands,Black,1244,129979,9.570776817793643
2021/22,East Midlands,Mixed,586,117247,4.997995684324546
2021/22,East Midlands,Other,157,61946,2.5344655022116034
2021/22,East Midlands,White,11151,4179766,2.6678526979740016
2021/22,East of England,Asian,1967,405866,4.846427145905299
2021/22,East of England,Black,2679,184956,14.484526049438786
2021/22,East of England,Mixed,1076,179658,5.989157176412963
2021/22,East of England,Other,508,86232,5.891084516188886
2021/22,East of England,White,26440,5478363,4.826259231087827
2021/22,London,Asian,25898,1817647,14.248091075990002
2021/22,London,Black,48412,1188369,40.73818822268167
2021/22,London,Mixed,7319,505776,14.470832937901363
2021/22,London,Other,5722,556772,10.277097267822375
2021/22,London,White,66829,4731172,14.125252685803856
2021/22,North East,Asian,396,98046,4.038920506700936
2021/22,North East,Black,197,26635,7.3962830861648206
2021/22,North East,Mixed,139,33264,4.178691678691679
2021/22,North East,Other,97,26341,3.6824721916404086
2021/22,North East,White,10188,2462720,4.136889293139292
2021/22,North West,Asian,2714,622692,4.35849505052257
2021/22,North West,Black,1810,173922,10.406964041351872
2021/22,North West,Mixed,1123,163254,6.878851360456712
2021/22,North West,Other,680,110156,6.173063655179926
2021/22,North West,White,56875,6347383,8.960385721170441
2021/22,South East,Asian,2744,650549,4.217975894206278
2021/22,South East,Black,3013,221579,13.597859002883848
2021/22,South East,Mixed,1573,260866,6.02991574218181
2021/22,South East,Other,582,135693,4.289093763127059
2021/22,South East,White,30591,8009377,3.819398187899009
2021/22,South West,Asian,273,159183,1.7150072557999283
2021/22,South West,Black,798,69610,11.463870133601494
2021/22,South West,Mixed,458,114081,4.014691315819461
