financial_year,variable,pct_inc_mse
2020/21,region_clean,15.915
2020/21,ethnicity,12.989
2020/21,sex,25.417
2020/21,age_under25,-8.265
2020/21,reason_drugs,6.532
2020/21,population,17.795
2021/22,region_clean,16.897
2021/22,ethnicity,14.365
2021/22,sex,28.049
2021/22,age_under25,-8.185
2021/22,reason_drugs,3.649
2021/22,population,20.757
2022/23,region_clean,11.918
2022/23,ethnicity,13.751
2022/23,sex,24.135
2022/23,age_under25,-7.625
2022/23,reason_drugs,-1.258
2022/23,population,18.669
2023/24,region_clean,9.068
2023/24,ethnicity,11.208
2023/24,sex,21.053
2023/24,age_under25,-6.231
2023/24,reason_drugs,-0.532
2023/24,population,17.778
2024/25,region_clean,9.394
2024/25,ethnicity,8.449
2024/25,sex,17.631
2024/25,age_under25,-5.433
2024/25,reason_drugs,-1.457
2024/25,population,14.671
