"","All","Asian","Black","Mixed","White","Other"
"Police force area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - excluding BTP","8.7","8.3","23.7","9.5","5.8","7.3"
"All - including BTP","8.9","8.5","24.5","9.9","5.9","7.5"
"Avon & Somerset","3.6","2.1","11.8","4.8","2.5","4.7"
"Bedfordshire","5.4","6.0","12.2","5.4","3.6","4.5"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","3.1","3.3","9.0","4.0","2.3","3.7"
"Cheshire","10.9","2.6","31.1","11.8","8.7","10.6"
"Cleveland","12.0","8.0","18.3","17.6","9.7","15.1"
"Cumbria","8.7","23.2","40.2","9.5","7.5","20.4"
"Derbyshire","1.9","3.3","6.0","4.7","1.4","2.4"
"Devon & Cornwall","3.4","2.2","10.8","3.1","2.6","2.4"
"Dorset","2.4","2.5","26.0","4.1","1.9","2.4"
"Durham","5.2","3.5","6.1","5.8","5.1","3.7"
"Dyfed-Powys","15.8","11.8","34.2","14.2","14.7","2.1"
"Essex","8.6","4.9","13.6","8.3","6.1","8.4"
"Gloucestershire","3.2","2.5","13.1","7.8","2.8","4.8"
"Greater Manchester","10.2","10.5","18.7","7.2","7.4","5.2"
"Gwent","3.7","5.5","17.9","6.3","2.8","4.4"
"Hampshire","5.1","3.1","16.9","6.8","3.8","3.7"
"Hertfordshire","5.5","4.2","14.3","6.2","4.2","5.2"
"Humberside","5.3","3.3","9.3","6.6","4.3","5.5"
"Kent","6.9","3.7","13.1","9.1","5.3","10.0"
"Lancashire","7.7","10.3","17.1","7.0","5.9","3.5"
"Leicestershire","5.9","3.7","13.6","6.7","4.4","2.6"
"Lincolnshire","4.1","4.5","15.8","6.0","3.5","5.5"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","36.4","15.0","45.1","29.1","33.3","51.5"
"Metropolitan Police","19.9","10.6","32.8","12.3","11.4","9.5"
"Norfolk","4.2","2.2","16.1","3.6","3.4","9.6"
"North Wales","5.2","3.6","11.6","3.6","4.7","7.1"
"North Yorkshire","3.7","4.5","8.2","5.8","2.9","6.0"
"Northamptonshire","4.8","4.1","11.0","7.0","4.0","2.7"
"Northumbria","3.8","4.6","7.8","3.2","3.7","0.6"
"Nottinghamshire","4.1","3.7","9.9","4.7","2.5","3.2"
"South Wales","5.4","4.5","14.9","6.4","4.7","5.8"
"South Yorkshire","8.0","9.5","13.4","8.6","5.8","5.3"
"Staffordshire","3.9","5.5","8.3","8.3","3.3","3.2"
"Suffolk","5.3","3.0","22.8","6.5","4.1","15.1"
"Surrey","4.0","3.3","15.9","3.8","3.2","3.3"
"Sussex","3.2","2.7","15.9","3.2","2.5","4.4"
"Thames Valley","5.6","3.6","8.9","4.7","3.6","1.8"
"Warwickshire","2.0","2.5","10.4","4.6","1.5","2.9"
"West Mercia","3.1","8.0","16.5","4.6","2.5","4.2"
"West Midlands","8.7","10.5","15.9","19.1","5.5","0.3"
"West Yorkshire","7.5","11.8","15.5","13.3","5.1","4.6"
"Wiltshire","2.4","1.4","8.1","3.9","1.8","0.4"
