"Ethnicity","Rate of stop and search","Number of stop and searches"
"All","8.9","529,474"
"Asian","8.5","46,630"
"Bangladeshi","8.9","5,739"
"Chinese","1.1","492"
"Indian","3.1","5,698"
"Pakistani","10.3","16,311"
"Asian other","18.9","18,390"
"Black","24.5","58,988"
"Black African","12.5","18,565"
"Black Caribbean","20.9","13,034"
"Black other","92.0","27,389"
"Mixed","9.9","17,002"
"Mixed White And Asian","4.1","1,995"
"Mixed White And Black African","7.1","1,769"
"Mixed White And Black Caribbean","10.1","5,178"
"Mixed other","17.3","8,060"
"White","5.9","289,109"
"White British","5.6","248,120"
"Gypsy Or Irish Traveller","13.1","890"
"White Irish","7.5","3,819"
"Roma","0.0","4"
"White other","9.9","36,276"
"Other","7.5","9,460"
"Arab","3.0","992"
"Any Other Ethnic Background","9.2","8,468"
"Unknown","N/A","108,285"
