label,name,rgn22cd,rgn22nm,rgn22nmw,x,y
K04000001E92000001E12000002,North West,E12000002,North West,,353032.353787266,461671.280313372
K04000001E92000001E12000007,London,E12000007,London,,531214.40260445,179650.264243779
K04000001E92000001E12000004,East Midlands,E12000004,East Midlands,,480311.010760292,337082.689870736
K04000001E92000001E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,,450732.711095271,452357.090851675
K04000001E92000001E12000005,West Midlands,E12000005,West Midlands,,381686.988350274,286831.008960642
K04000001E92000001E12000001,North East,E12000001,North East,,406279.370543457,569263.742097977
K04000001E92000001E12000008,South East,E12000008,South East,,502574.10966224,154598.551089842
K04000001E92000001E12000009,South West,E12000009,South West,,319686.188951735,123066.677572889
K04000001E92000001E12000006,East of England,E12000006,East of England,,573221.268940619,264330.051071476
K04000001W92000004W92000004,Wales,W92000004,Wales,Cymru,279912.613826677,271746.252749022
